epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,9245.28,0.85553,0.77397,0.81546,0.74562,0.6684,0.73982,0.56028,0.77512,0.66972,0.81501,0.007228,0.007228,0.007228
142,9310.37,0.88453,0.80623,0.81476,0.74094,0.67364,0.74044,0.56045,0.77442,0.66992,0.81492,0.0072082,0.0072082,0.0072082
143,9375.75,0.86857,0.78329,0.81522,0.7398,0.67115,0.74035,0.56001,0.77433,0.66918,0.81479,0.0071884,0.0071884,0.0071884
144,9441.01,0.86277,0.77408,0.81952,0.75815,0.66071,0.74077,0.56036,0.77431,0.66944,0.81462,0.0071686,0.0071686,0.0071686
145,9506.46,0.87476,0.7822,0.81161,0.74578,0.66611,0.74069,0.56063,0.77402,0.66882,0.81453,0.0071488,0.0071488,0.0071488
146,9571.55,0.86112,0.77005,0.81389,0.74969,0.66433,0.74164,0.56083,0.77385,0.66856,0.81457,0.007129,0.007129,0.007129
147,9636.71,0.86573,0.77614,0.81672,0.74646,0.6692,0.74247,0.56192,0.7731,0.6685,0.81433,0.0071092,0.0071092,0.0071092
148,9701.95,0.86236,0.77198,0.81468,0.74832,0.6746,0.74288,0.56197,0.773,0.66695,0.81423,0.0070894,0.0070894,0.0070894
149,9766.87,0.8683,0.76458,0.81832,0.74828,0.67684,0.74304,0.56251,0.77287,0.66642,0.8142,0.0070696,0.0070696,0.0070696
150,9832.02,0.86746,0.77828,0.81469,0.75254,0.67513,0.7437,0.56352,0.77249,0.66599,0.81412,0.0070498,0.0070498,0.0070498
151,9897.35,0.8617,0.76152,0.81506,0.75629,0.67316,0.74447,0.56424,0.7722,0.66508,0.81415,0.00703,0.00703,0.00703
152,9962.45,0.85623,0.7599,0.81256,0.75783,0.67472,0.74484,0.56434,0.77241,0.66315,0.8141,0.0070102,0.0070102,0.0070102
153,10027.5,0.86718,0.76864,0.81693,0.75858,0.67527,0.74506,0.56449,0.77172,0.66211,0.814,0.0069904,0.0069904,0.0069904
154,10092.6,0.85951,0.75996,0.81456,0.75097,0.67882,0.74546,0.56454,0.77159,0.66242,0.81396,0.0069706,0.0069706,0.0069706
155,10161.7,0.85934,0.75263,0.81395,0.74652,0.68003,0.74621,0.56541,0.77105,0.66195,0.81398,0.0069508,0.0069508,0.0069508
156,10227.1,0.85188,0.75777,0.81314,0.74757,0.68123,0.74707,0.56594,0.77121,0.66114,0.81392,0.006931,0.006931,0.006931
157,10292.3,0.85984,0.76474,0.81492,0.75337,0.67758,0.74718,0.56567,0.77053,0.66114,0.81381,0.0069112,0.0069112,0.0069112
158,10357.3,0.85134,0.73648,0.81334,0.74838,0.68542,0.74814,0.56677,0.77052,0.66038,0.81386,0.0068914,0.0068914,0.0068914
159,10425.6,0.8598,0.75268,0.81399,0.75293,0.68302,0.74876,0.56738,0.77008,0.66005,0.81374,0.0068716,0.0068716,0.0068716
160,10490.8,0.85487,0.74553,0.81446,0.75572,0.67964,0.74896,0.56786,0.76979,0.66023,0.81375,0.0068518,0.0068518,0.0068518
161,10556.7,0.85226,0.74876,0.81597,0.75448,0.68129,0.74889,0.5685,0.76935,0.6592,0.81375,0.006832,0.006832,0.006832
162,10622.1,0.84711,0.74572,0.80987,0.74939,0.68423,0.74899,0.56893,0.76949,0.6588,0.81361,0.0068122,0.0068122,0.0068122
163,10687.2,0.86267,0.73865,0.81462,0.7581,0.6783,0.7491,0.56816,0.76919,0.65902,0.81356,0.0067924,0.0067924,0.0067924
164,10752.4,0.8534,0.7455,0.81647,0.7526,0.6842,0.74954,0.56875,0.76855,0.65808,0.81359,0.0067726,0.0067726,0.0067726
165,10817.3,0.84862,0.74113,0.81341,0.7554,0.68199,0.74991,0.56859,0.76865,0.65801,0.81361,0.0067528,0.0067528,0.0067528
166,10883,0.85697,0.72889,0.81532,0.75342,0.68286,0.75024,0.56912,0.76852,0.65762,0.81341,0.006733,0.006733,0.006733
167,10948.3,0.84371,0.73113,0.81643,0.7541,0.68357,0.75043,0.56903,0.76835,0.6582,0.81338,0.0067132,0.0067132,0.0067132
168,11013.4,0.85883,0.74002,0.81556,0.75726,0.68105,0.75079,0.56938,0.76764,0.65804,0.81333,0.0066934,0.0066934,0.0066934
169,11078.7,0.8441,0.71791,0.81408,0.7571,0.68197,0.75102,0.56944,0.7674,0.65753,0.81336,0.0066736,0.0066736,0.0066736
170,11143.7,0.84163,0.73728,0.81361,0.75549,0.68342,0.75123,0.56942,0.76755,0.65668,0.81337,0.0066538,0.0066538,0.0066538
171,11208.9,0.85449,0.73375,0.81053,0.75362,0.6851,0.75177,0.56946,0.76738,0.65659,0.8133,0.006634,0.006634,0.006634
172,11274.1,0.84209,0.7205,0.81053,0.75299,0.6869,0.75216,0.56951,0.76693,0.65528,0.81328,0.0066142,0.0066142,0.0066142
173,11339.5,0.83681,0.71099,0.81081,0.75493,0.68592,0.75243,0.56988,0.76687,0.65517,0.81325,0.0065944,0.0065944,0.0065944
174,11404.7,0.85088,0.71851,0.81535,0.75969,0.68275,0.75309,0.57013,0.76627,0.65526,0.81328,0.0065746,0.0065746,0.0065746
175,11470.2,0.84982,0.73313,0.81174,0.75944,0.68381,0.75384,0.57069,0.76625,0.65463,0.81325,0.0065548,0.0065548,0.0065548
176,11535.7,0.84342,0.7172,0.80972,0.76337,0.68046,0.7542,0.57146,0.76592,0.65357,0.81336,0.006535,0.006535,0.006535
177,11600.9,0.85013,0.73076,0.81172,0.76807,0.67804,0.75459,0.5718,0.7659,0.65327,0.81337,0.0065152,0.0065152,0.0065152
178,11666,0.85025,0.71661,0.81278,0.76665,0.68031,0.75452,0.57178,0.76579,0.65309,0.81339,0.0064954,0.0064954,0.0064954
179,11730.9,0.8505,0.7064,0.81236,0.76678,0.68111,0.75498,0.57189,0.76606,0.65251,0.81331,0.0064756,0.0064756,0.0064756
